#Classification	210222Fox_D21-2140_bracken_species.kreport2	210222Fox_D21-2142_bracken_species.kreport2	210222Fox_D21-2143_bracken_species.kreport2	210222Fox_D21-2144_bracken_species.kreport2	210222Fox_D21-2145_bracken_species.kreport2	210222Fox_D21-2146_bracken_species.kreport2	210222Fox_D21-2147_bracken_species.kreport2	210713Fox_D21-6682_bracken_species.kreport2	210713Fox_D21-6683_bracken_species.kreport2	210713Fox_D21-6684_bracken_species.kreport2	210713Fox_D21-6685_bracken_species.kreport2	210713Fox_D21-6686_bracken_species.kreport2	210713Fox_D21-6687_bracken_species.kreport2	210713Fox_D21-6688_bracken_species.kreport2	210713Fox_D21-6689_bracken_species.kreport2	210713Fox_D21-6690_bracken_species.kreport2	210713Fox_D21-6691_bracken_species.kreport2	210713Fox_D21-6692_bracken_species.kreport2	210713Fox_D21-6693_bracken_species.kreport2
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_tropica	67	110	133	134	56	70	108	59	57	67	92	94	54	31	65	68	119	36	53
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_amazonensis	36	88	88	70	60	48	30	0	22	21	49	0	47	27	24	49	63	53	18
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_mexicana	76	144	131	130	63	79	92	67	63	41	91	123	77	41	90	113	143	34	73
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_donovani	55	168	123	138	77	78	40	121	73	115	99	107	64	106	84	61	127	58	58
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_infantum	62	121	156	116	91	73	74	0	0	0	86	93	58	50	66	90	79	39	64
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_major	250	355	349	335	238	220	234	109	104	99	146	158	195	127	132	223	212	116	130
k__Eukaryota|p__Oomycota|o__Albuginales|f__Albuginaceae|g__Albugo|s__Albugo_laibachii	12	31	22	24	15	10	0	10	11	0	0	15	0	0	12	0	0	0	0
k__Eukaryota|p__Oomycota|o__Albuginales|f__Albuginaceae|g__Albugo|s__Albugo_candida	25	69	61	55	42	15	18	26	22	18	33	37	28	24	22	24	16	0	18
k__Eukaryota|p__Oomycota|o__Saprolegniales|f__Saprolegniaceae|g__Saprolegnia|s__Saprolegnia_diclina	0	29	26	29	21	23	19	10	0	10	23	15	14	10	0	15	19	11	0
k__Eukaryota|p__Oomycota|o__Saprolegniales|f__Saprolegniaceae|g__Saprolegnia|s__Saprolegnia_parasitica	19	34	13	14	17	0	0	0	0	0	12	0	0	0	0	0	13	0	0
k__Eukaryota|p__Oomycota|o__Saprolegniales|f__Saprolegniaceae|g__Aphanomyces|s__Aphanomyces_invadans	13	26	26	25	36	48	19	11	0	12	17	0	14	13	18	18	21	12	13
k__Eukaryota|p__Oomycota|o__Saprolegniales|f__Saprolegniaceae|g__Aphanomyces|s__Aphanomyces_astaci	26	73	33	39	39	32	24	0	11	17	21	29	22	16	17	19	21	10	10
k__Eukaryota|p__Oomycota|o__Peronosporales|f__Peronosporaceae|g__Hyaloperonospora|s__Hyaloperonospora_arabidopsidis	22	66	60	47	28	35	23	14	11	18	22	13	21	22	11	17	22	12	0
k__Eukaryota|p__Oomycota|o__Peronosporales|f__Peronosporaceae|g__Phytophthora|s__Phytophthora_ramorum	0	32	23	17	0	12	0	0	0	11	0	10	0	0	0	0	0	0	0
k__Eukaryota|p__Oomycota|o__Peronosporales|f__Peronosporaceae|g__Phytophthora|s__Phytophthora_capsici	12	39	40	22	17	12	19	14	11	13	11	20	14	14	0	12	18	0	10
k__Eukaryota|p__Oomycota|o__Peronosporales|f__Peronosporaceae|g__Phytophthora|s__Phytophthora_sojae	27	56	34	26	18	25	33	0	0	0	21	12	0	0	19	0	17	14	14
k__Eukaryota|p__Oomycota|o__Peronosporales|f__Peronosporaceae|g__Phytophthora|s__Phytophthora_cinnamomi	25	90	33	38	39	21	25	14	0	11	0	11	24	12	18	21	19	0	14
k__Eukaryota|p__Oomycota|o__Peronosporales|f__Peronosporaceae|g__Phytophthora|s__Phytophthora_infestans	41	92	43	43	20	29	19	0	16	16	16	0	29	19	17	12	20	10	22
k__Eukaryota|p__Oomycota|o__Peronosporales|f__Peronosporaceae|g__Phytophthora|s__Phytophthora_parasitica	80	156	141	132	77	68	48	54	32	41	92	68	74	56	96	104	143	38	39
k__Eukaryota|p__Oomycota|o__Pythiales|f__Pythiaceae|g__Phytopythium|s__Phytopythium_vexans	13	50	33	24	36	20	32	10	0	20	29	20	19	18	24	21	22	10	0
k__Eukaryota|p__Oomycota|o__Pythiales|f__Pythiaceae|g__Pythium|s__Pythium_aphanidermatum	14	55	11	20	0	17	10	0	0	11	11	11	0	0	0	0	11	0	14
k__Eukaryota|p__Oomycota|o__Pythiales|f__Pythiaceae|g__Pythium|s__Pythium_arrhenomanes	24	48	26	29	45	42	35	13	18	11	23	14	27	22	20	22	21	10	24
k__Eukaryota|p__Oomycota|o__Pythiales|f__Pythiaceae|g__Globisporangium|s__Globisporangium_iwayamae	46	88	71	79	52	51	85	43	31	35	36	50	26	37	47	59	41	25	19
k__Eukaryota|p__Oomycota|o__Pythiales|f__Pythiaceae|g__Globisporangium|s__Globisporangium_ultimum	63	139	116	79	89	57	51	31	29	19	36	66	32	33	38	50	53	20	49
k__Eukaryota|p__Oomycota|o__Pythiales|f__Pythiaceae|g__Globisporangium|s__Globisporangium_irregulare	98	153	132	126	86	90	88	38	40	63	70	65	69	43	65	67	448	48	43
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida|f__Babesiidae|g__Babesia|s__Babesia_bovis	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida|f__Babesiidae|g__Babesia|s__Babesia_microti	19	38	24	30	19	17	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida|f__Theileriidae|g__Cytauxzoon|s__Cytauxzoon_felis	14	42	42	32	22	63	13	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida|f__Theileriidae|g__Theileria|s__Theileria_parva	0	23	15	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida|f__Theileriidae|g__Theileria|s__Theileria_orientalis	0	31	10	13	0	23	12	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida|f__Theileriidae|g__Theileria|s__Theileria_equi	17	32	20	18	25	16	0	0	0	0	0	0	0	11	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Piroplasmida|f__Theileriidae|g__Theileria|s__Theileria_annulata	27	41	16	41	19	17	18	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida|f__Plasmodiidae|g__Plasmodium|s__Plasmodium_gallinaceum	0	20	17	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
