Representative_ASV	Beta	SE	P	FDR_BH	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
s__Sulfurisphaera_tokodaii	-0.445454175215739	0.280463366299983	0.129633416238393	0.993291483017762	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfurisphaera	NA	NA
s__Sulfuracidifex_tepidarius	-0.488857122243182	0.270517392704016	0.0874883141923896	0.993291483017762	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfuracidifex	NA	NA
s__Acidianus_brierleyi	-0.193628150700197	0.611217576309097	0.755046951171168	0.993291483017762	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	NA	NA
s__Sulfolobus_islandicus	0.644996082632001	0.760491072102775	0.407502330803826	0.993291483017762	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	NA	NA
s__Pyrococcus_sp._NA2	0.15910904914034	0.167408847511745	0.354485881366613	0.993291483017762	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	NA	NA
s__Thermococcus_sp._2319x1	1.22999876269325	0.585055766071126	0.0498591504912847	0.993291483017762	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	NA	NA
s__Methanoplanus_limicola	0.00164004876048785	0.192369390323799	0.993291483017762	0.993291483017762	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoplanus	NA	NA
s__Methanocorpusculum_labreanum	-0.0891463798124417	0.343287776252004	0.798054393060748	0.993291483017762	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	NA	NA
s__Methanospirillum_hungatei	-0.0201380540751753	0.19412427228651	0.91852441377775	0.993291483017762	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	NA	NA
s__Methanocella_arvoryzae	0.110991527946158	0.385293720997287	0.776583929976366	0.993291483017762	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	NA	NA
s__Methanomethylovorans_hollandica	-0.00450787495101669	0.194574882392841	0.981771314123413	0.993291483017762	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanomethylovorans	NA	NA
s__Methanosalsum_zhilinae	-0.118299064641045	0.163408333251855	0.478402174678779	0.993291483017762	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosalsum	NA	NA
s__Methanohalobium_evestigatum	-0.149895936405872	0.205846251932781	0.475862359958437	0.993291483017762	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalobium	NA	NA
s__Methanosarcina_barkeri	0.211909741016504	0.802336811694857	0.794690998926323	0.993291483017762	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	NA	NA
s__Halosimplex_litoreum	1.21978151628895	0.6700148020024	0.0853465028140549	0.993291483017762	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halosimplex	NA	NA
s__Natrialba_magadii	-0.228454803602442	0.674304942991111	0.738680332253607	0.993291483017762	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	NA	NA
s__Halovivax_sp._KZCA124	0.0819797509406864	0.712462596724183	0.909667217491166	0.993291483017762	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halovivax	NA	NA
s__Natronorubrum_aibiense	-0.177099419642372	0.25424204401617	0.494964937273563	0.993291483017762	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	NA	NA
s__Halobiforma_lacisalsi	-0.47792237265273	0.611814626606827	0.444864243945582	0.993291483017762	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halobiforma	NA	NA
s__Halopenitus_persicus	-0.571800330533924	0.614797900168977	0.364645248539669	0.993291483017762	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halopenitus	NA	NA
s__Haloquadratum_walsbyi	-0.0189290716704894	0.513641297231998	0.971008084290849	0.993291483017762	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	NA	NA
s__Haloferax_mediterranei	-0.82373292173221	0.657645743448674	0.226399878228202	0.993291483017762	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	NA	NA
s__Methanothermus_fervidus	0.236934133706861	0.20441985728764	0.261579022169214	0.993291483017762	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	NA	NA
s__Methanosphaera_stadtmanae	0.00783895332408406	0.263942283026047	0.976633535418324	0.993291483017762	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	NA	NA
s__Methanobrevibacter_smithii	-0.149585510307399	0.457033271174596	0.747219173811991	0.993291483017762	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA	NA
s__Methanobacterium_sp._MethCAN	-0.233512657694407	0.347554844508647	0.510196956237364	0.993291483017762	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA	NA
s__Methanofervidicoccus_sp._A16	0.334611902896617	0.362983563930091	0.368804777305167	0.993291483017762	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanofervidicoccus	Methanofervidicoccus_sp._A16	NA	NA
s__Methanotorris_igneus	0.159206654234813	0.201906743572642	0.440657171517848	0.993291483017762	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	NA	NA
s__Methanocaldococcus_sp._FS406-22	-0.049375725979737	0.495737608857813	0.921762381725905	0.993291483017762	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	NA	NA
s__Methanothermococcus_okinawensis	-0.0965217621204766	0.397991766907869	0.811117587830235	0.993291483017762	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	NA	NA
s__Methanococcus_aeolicus	0.110933293479903	0.922449881691372	0.905609817221084	0.993291483017762	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	NA	NA
s__Halobacterium_sp._DL1	0.450926983877185	0.371453988239523	0.240454547618141	0.993291483017762	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA
